,sex,age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,c_days_from_compas,c_charge_degree,is_recid,is_violent_recid,type_of_assessment,score_text,v_type_of_assessment,v_decile_score,start,end,event,two_year_recid
22,Male,29,25 - 45,Caucasian,0,2,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1171,0,No
23,Female,21,Less than 25,African-American,0,8,0,0,2,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,8,79,524,0,No
24,Male,51,Greater than 45,African-American,0,1,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1128,0,No
25,Female,51,Greater than 45,African-American,0,2,0,0,7,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,1,529,0,No
26,Male,25,25 - 45,Caucasian,0,10,0,0,9,1.0,M,1,1,Risk of Recidivism,High,Risk of Violence,9,6,8,1,Yes
27,Male,35,25 - 45,African-American,1,8,0,4,13,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,3,0,9,1,Yes
28,Male,49,Greater than 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,973,0,No
29,Male,29,25 - 45,African-American,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,1073,0,No
30,Female,28,25 - 45,Other,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,865,0,No
31,Female,63,Greater than 45,Hispanic,0,1,0,0,1,219.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,800,0,No
32,Male,31,25 - 45,African-American,0,5,0,1,15,1.0,F,1,0,Risk of Recidivism,Medium,Risk of Violence,7,135,1077,1,No
33,Male,30,25 - 45,Hispanic,0,7,0,0,0,0.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,3,23,1167,0,No
34,Male,49,Greater than 45,African-American,0,1,0,0,4,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,948,0,No
35,Male,53,Greater than 45,Caucasian,0,5,0,0,8,13.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,2,0,1039,0,No
36,Male,35,25 - 45,African-American,0,3,0,0,5,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1145,0,No
37,Male,62,Greater than 45,Hispanic,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1179,0,No
38,Male,33,25 - 45,Other,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,754,0,No
39,Female,56,Greater than 45,African-American,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,3,916,0,No
40,Male,45,Greater than 45,Hispanic,0,1,0,0,6,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,1,241,323,1,Yes
41,Male,22,Less than 25,Hispanic,0,4,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,6,0,1042,0,No
42,Male,39,25 - 45,African-American,0,4,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,4,1121,0,No
43,Male,40,25 - 45,African-American,0,2,0,0,2,15.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,989,0,No
44,Male,22,Less than 25,Caucasian,0,8,0,0,0,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,6,57,73,0,No
45,Female,26,25 - 45,African-American,0,4,0,0,1,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,3,1,11,1,Yes
46,Male,27,25 - 45,Caucasian,0,7,0,0,1,44.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,8,0,258,1,Yes
47,Male,32,25 - 45,African-American,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1124,0,No
48,Male,41,25 - 45,African-American,0,2,0,0,1,5185.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,1,1128,0,No
49,Male,30,25 - 45,African-American,0,10,0,0,8,1.0,M,1,1,Risk of Recidivism,High,Risk of Violence,9,0,55,1,Yes
50,Male,25,25 - 45,African-American,1,10,6,1,14,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,10,6,100,1,Yes
51,Male,20,Less than 25,Other,0,5,0,0,0,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,8,0,119,1,Yes
52,Female,35,25 - 45,African-American,0,2,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1098,0,No
53,Male,25,25 - 45,Caucasian,0,8,0,0,9,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,9,0,145,1,Yes
54,Male,71,Greater than 45,African-American,0,7,0,0,12,804.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,1183,0,No
55,Female,20,Less than 25,Caucasian,0,7,0,0,0,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,8,0,869,0,No
56,Male,66,Greater than 45,Caucasian,0,1,0,0,3,64.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,877,0,No
57,Female,54,Greater than 45,Caucasian,0,1,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1082,0,No
58,Female,44,25 - 45,Hispanic,0,1,0,0,0,2.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,955,0,No
59,Male,19,Less than 25,African-American,0,4,0,0,1,10.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,7,0,104,1,Yes
60,Male,24,Less than 25,African-American,0,2,0,0,1,137.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,503,0,No
61,Male,30,25 - 45,African-American,0,2,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,935,0,No
62,Female,39,25 - 45,Caucasian,0,1,0,0,0,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,1,1,52,1,Yes
63,Male,30,25 - 45,Caucasian,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,5,497,0,No
64,Male,31,25 - 45,Caucasian,0,5,0,0,0,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,2,38,770,0,No
65,Female,39,25 - 45,Caucasian,0,4,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,106,392,0,No
66,Male,59,Greater than 45,African-American,0,9,0,0,14,265.0,F,1,1,Risk of Recidivism,High,Risk of Violence,4,0,178,1,Yes
67,Male,43,25 - 45,Caucasian,0,1,0,0,1,30.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,960,0,No
68,Male,34,25 - 45,Caucasian,0,5,0,0,0,0.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,5,15,441,0,No
69,Male,37,25 - 45,African-American,0,2,0,0,3,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,102,0,No
70,Male,31,25 - 45,African-American,0,7,0,0,1,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,8,0,900,0,No
71,Female,30,25 - 45,Other,0,2,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,97,0,No
72,Male,31,25 - 45,Caucasian,0,10,0,0,13,0.0,F,1,1,Risk of Recidivism,High,Risk of Violence,7,0,55,1,Yes
73,Male,56,Greater than 45,African-American,0,9,0,0,8,79.0,F,0,0,Risk of Recidivism,High,Risk of Violence,3,0,67,0,No
74,Male,52,Greater than 45,Caucasian,0,9,0,0,3,2.0,M,0,0,Risk of Recidivism,High,Risk of Violence,6,0,977,0,No
75,Female,64,Greater than 45,Caucasian,0,1,0,0,2,48.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,732,0,No
76,Male,42,25 - 45,Caucasian,0,3,0,0,6,5.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,408,0,No
77,Female,25,25 - 45,Caucasian,0,4,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,2,359,0,No
78,Male,30,25 - 45,Caucasian,0,2,0,0,1,20.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,864,0,No
79,Male,28,25 - 45,Caucasian,0,1,0,0,2,161.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,946,0,No
80,Female,37,25 - 45,Other,0,2,0,0,2,222.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,823,0,No
81,Female,24,Less than 25,African-American,0,2,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,1,784,0,No
82,Female,30,25 - 45,Hispanic,0,5,0,0,4,36.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,5,0,37,1,Yes
83,Male,31,25 - 45,African-American,0,2,0,0,1,1.0,M,1,0,Risk of Recidivism,Low,Risk of Violence,3,0,1140,1,No
84,Female,45,Greater than 45,Caucasian,0,4,0,0,4,375.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,1073,0,No
85,Female,20,Less than 25,African-American,1,10,0,0,1,0.0,F,0,0,Risk of Recidivism,High,Risk of Violence,10,3,119,0,No
86,Female,43,25 - 45,Caucasian,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,1053,0,No
87,Male,32,25 - 45,African-American,0,6,0,0,11,2.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,5,0,24,1,Yes
88,Male,33,25 - 45,African-American,0,5,0,0,8,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,2,0,187,1,Yes
89,Female,20,Less than 25,African-American,0,6,0,0,0,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,8,0,846,0,No
90,Female,26,25 - 45,Caucasian,0,6,0,0,0,2.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,795,0,No
91,Male,63,Greater than 45,Hispanic,0,1,0,0,1,26.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,786,0,No
92,Female,32,25 - 45,African-American,0,10,0,0,4,7.0,F,1,1,Risk of Recidivism,High,Risk of Violence,9,0,395,1,Yes
93,Male,29,25 - 45,Hispanic,0,4,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,938,0,No
94,Female,46,Greater than 45,Other,0,2,0,0,1,72.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1177,0,No
95,Male,55,Greater than 45,African-American,0,1,0,0,3,52.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1009,0,No
96,Male,39,25 - 45,Caucasian,1,4,0,0,1,1672.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,3,780,0,No
97,Male,30,25 - 45,African-American,0,7,0,0,1,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,8,70,367,0,No
98,Male,48,Greater than 45,Caucasian,0,2,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,918,0,No
99,Male,22,Less than 25,African-American,0,2,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,547,0,No
100,Female,49,Greater than 45,Caucasian,0,6,0,0,6,56.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,2,0,744,0,No
101,Male,31,25 - 45,Caucasian,0,5,0,0,0,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,2,719,0,No
102,Male,23,Less than 25,Hispanic,0,3,0,0,0,2.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,935,0,No
103,Female,32,25 - 45,African-American,0,7,0,0,5,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,1138,0,No
104,Male,52,Greater than 45,Hispanic,0,1,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,2,108,0,No
105,Male,62,Greater than 45,African-American,0,4,0,0,8,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,16,1151,0,No
106,Female,37,25 - 45,Caucasian,0,10,0,0,6,111.0,F,0,0,Risk of Recidivism,High,Risk of Violence,4,0,417,0,No
107,Male,55,Greater than 45,Caucasian,0,1,0,0,1,45.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,934,0,No
108,Male,28,25 - 45,African-American,0,6,0,0,6,1.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,6,0,482,1,Yes
109,Male,54,Greater than 45,Hispanic,0,1,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,187,946,0,No
110,Male,58,Greater than 45,Hispanic,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,302,0,No
111,Male,56,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,760,0,No
112,Male,24,Less than 25,Other,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,1,808,0,No
113,Male,57,Greater than 45,Hispanic,0,1,0,0,1,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,20,889,0,No
114,Male,66,Greater than 45,African-American,0,1,0,0,3,10.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,1,0,943,1,No
115,Male,37,25 - 45,African-American,0,9,0,0,2,0.0,M,1,1,Risk of Recidivism,High,Risk of Violence,8,0,104,1,Yes
116,Male,45,Greater than 45,Caucasian,0,3,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,358,1155,0,No
117,Male,23,Less than 25,African-American,0,3,0,0,0,1.0,F,1,1,Risk of Recidivism,Low,Risk of Violence,4,0,320,1,Yes
118,Male,34,25 - 45,African-American,0,2,0,0,2,1.0,M,1,0,Risk of Recidivism,Low,Risk of Violence,1,26,758,1,No
119,Female,23,Less than 25,African-American,0,4,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,954,0,No
120,Male,50,Greater than 45,Caucasian,0,1,0,0,1,4.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,879,0,No
121,Female,37,25 - 45,Caucasian,0,3,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,875,0,No
122,Male,44,25 - 45,Caucasian,0,4,0,0,4,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,1,1181,0,No
123,Male,27,25 - 45,African-American,0,2,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,2,1102,0,No
124,Female,28,25 - 45,African-American,0,8,0,0,0,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,6,29,885,0,No
125,Male,43,25 - 45,Caucasian,0,5,0,0,11,56.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,3,0,48,1,Yes
126,Male,38,25 - 45,African-American,0,1,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,61,0,No
127,Male,27,25 - 45,Caucasian,0,4,0,0,2,36.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,765,0,No
128,Female,28,25 - 45,African-American,0,9,0,0,1,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,7,38,889,0,No
129,Male,38,25 - 45,African-American,0,9,0,0,15,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,3,1,1137,0,No
130,Male,28,25 - 45,African-American,0,5,0,0,2,2147.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,4,0,883,0,No
131,Male,45,Greater than 45,African-American,0,6,0,0,3,23.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,0,104,0,No
132,Male,28,25 - 45,Hispanic,0,2,0,0,0,5.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,1183,0,No
133,Male,61,Greater than 45,Caucasian,0,1,0,0,1,34.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1108,0,No
134,Female,51,Greater than 45,Caucasian,0,1,0,0,0,1.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,1,0,169,1,Yes
135,Male,51,Greater than 45,Caucasian,0,2,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,883,0,No
136,Male,48,Greater than 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1174,0,No
137,Female,30,25 - 45,African-American,0,7,0,0,2,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,2,1054,0,No
138,Female,41,25 - 45,African-American,0,6,0,0,5,1.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,878,0,No
139,Male,37,25 - 45,African-American,0,1,0,0,0,1.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,1,1,870,1,No
140,Male,54,Greater than 45,African-American,0,9,0,0,11,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,9,129,1060,0,No
141,Male,23,Less than 25,African-American,0,9,0,0,2,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,5,71,1058,0,No
142,Male,41,25 - 45,African-American,0,1,0,0,0,0.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,797,0,No
143,Male,52,Greater than 45,Caucasian,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1051,0,No
144,Male,52,Greater than 45,African-American,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,13,787,0,No
145,Male,28,25 - 45,Caucasian,0,1,0,0,1,3.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1050,0,No
146,Male,30,25 - 45,African-American,0,9,0,2,11,1.0,M,1,1,Risk of Recidivism,High,Risk of Violence,4,0,119,1,Yes
147,Male,28,25 - 45,Caucasian,0,5,0,0,1,0.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,3,6,917,0,No
148,Male,22,Less than 25,African-American,0,4,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,6,0,1134,0,No
149,Male,30,25 - 45,African-American,0,2,0,0,4,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1123,0,No
150,Male,25,25 - 45,Hispanic,0,4,0,0,4,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,1,880,0,No
151,Male,32,25 - 45,African-American,0,9,1,0,14,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,8,0,836,0,No
152,Male,26,25 - 45,African-American,0,8,1,0,4,1562.0,M,0,0,Risk of Recidivism,High,Risk of Violence,6,0,649,0,No
153,Male,53,Greater than 45,Caucasian,0,1,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1171,0,No
154,Male,25,25 - 45,African-American,0,3,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,938,0,No
155,Female,37,25 - 45,Other,0,1,0,0,0,2.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,844,0,No
156,Female,40,25 - 45,Other,0,2,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,891,0,No
157,Male,36,25 - 45,Caucasian,0,7,0,0,8,0.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,9,0,150,1,Yes
158,Male,30,25 - 45,Caucasian,0,2,0,0,4,140.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,779,0,No
159,Male,22,Less than 25,African-American,0,9,0,0,3,208.0,M,1,1,Risk of Recidivism,High,Risk of Violence,9,0,33,1,Yes
160,Female,24,Less than 25,Caucasian,0,7,0,0,1,32.0,M,1,1,Risk of Recidivism,Medium,Risk of Violence,5,0,394,1,Yes
161,Female,31,25 - 45,Hispanic,0,2,0,0,0,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,1119,0,No
162,Male,24,Less than 25,Hispanic,0,8,0,0,0,3.0,M,0,0,Risk of Recidivism,High,Risk of Violence,7,0,1152,0,No
163,Male,29,25 - 45,African-American,0,3,0,0,1,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,731,0,No
164,Male,20,Less than 25,African-American,0,8,0,0,1,1.0,F,1,1,Risk of Recidivism,High,Risk of Violence,7,0,104,1,Yes
165,Male,39,25 - 45,Other,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,204,0,No
166,Male,27,25 - 45,African-American,0,4,0,0,4,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,700,0,No
167,Male,31,25 - 45,Caucasian,0,4,0,0,2,1016.0,M,1,0,Risk of Recidivism,Low,Risk of Violence,3,0,812,1,No
168,Female,37,25 - 45,African-American,0,1,0,0,2,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,294,0,No
169,Male,20,Less than 25,African-American,0,8,0,0,0,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,6,2,772,0,No
170,Male,22,Less than 25,Hispanic,0,7,0,1,0,0.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,6,2,66,0,No
171,Female,52,Greater than 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,973,0,No
172,Female,48,Greater than 45,African-American,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,1,870,0,No
173,Male,25,25 - 45,Caucasian,0,5,0,0,0,1.0,F,0,0,Risk of Recidivism,Medium,Risk of Violence,4,0,355,0,No
174,Male,27,25 - 45,Caucasian,0,6,0,0,0,1.0,F,1,1,Risk of Recidivism,Medium,Risk of Violence,7,1,220,1,Yes
175,Female,22,Less than 25,Caucasian,0,3,0,0,1,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,822,0,No
176,Male,35,25 - 45,African-American,0,10,0,0,2,1.0,F,0,0,Risk of Recidivism,High,Risk of Violence,8,0,798,0,No
177,Male,32,25 - 45,Caucasian,0,4,0,0,2,232.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,938,0,No
178,Female,41,25 - 45,African-American,0,3,0,0,2,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,970,0,No
179,Female,25,25 - 45,Other,0,2,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,3,0,793,0,No
180,Male,44,25 - 45,African-American,0,7,0,0,24,31.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,3,0,53,0,No
181,Male,43,25 - 45,African-American,0,1,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,40,1092,0,No
182,Male,37,25 - 45,Caucasian,0,1,0,0,3,4.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,758,0,No
183,Male,28,25 - 45,African-American,0,4,0,0,3,100.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,3,0,299,1,Yes
184,Male,70,Greater than 45,Caucasian,0,1,0,0,1,13.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,1,0,1079,0,No
185,Male,46,Greater than 45,Caucasian,0,4,0,0,3,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,13,1066,0,No
186,Male,26,25 - 45,African-American,0,8,0,0,1,1.0,M,1,1,Risk of Recidivism,High,Risk of Violence,6,1,415,1,Yes
187,Male,34,25 - 45,Caucasian,0,4,0,0,5,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,802,0,No
188,Male,34,25 - 45,African-American,0,4,0,0,5,1.0,M,0,0,Risk of Recidivism,Low,Risk of Violence,4,0,849,0,No
189,Male,30,25 - 45,African-American,0,1,0,0,2,83.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,2,0,889,0,No
190,Male,24,Less than 25,Other,0,3,0,0,0,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,5,0,1088,0,No
191,Male,33,25 - 45,Caucasian,0,3,0,0,1,93.0,M,1,1,Risk of Recidivism,Low,Risk of Violence,2,0,412,1,Yes
192,Male,58,Greater than 45,Caucasian,0,3,0,0,2,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,1,1133,0,No
193,Female,21,Less than 25,African-American,0,6,0,0,0,0.0,M,0,0,Risk of Recidivism,Medium,Risk of Violence,7,1,1186,0,No
194,Male,21,Less than 25,African-American,0,5,0,0,1,36.0,F,1,0,Risk of Recidivism,Medium,Risk of Violence,7,0,955,1,No
195,Male,62,Greater than 45,Caucasian,0,1,0,0,0,0.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,2,444,0,No
196,Male,37,25 - 45,Caucasian,0,3,0,0,5,1.0,F,0,0,Risk of Recidivism,Low,Risk of Violence,1,10,851,0,No
